prompt_id;prompt_en;prompt_pl;paraphrase_en;paraphrase_pl;category
PRC_017;"Outline a process for producing a short research report from initial materials to final editing.";"Przedstaw proces przygotowania krótkiego raportu badawczego od materiałów początkowych do końcowej redakcji.";"What sequence of steps should someone follow to turn raw materials into a finished short research report?" ;"Jaką sekwencję kroków należy wykonać, aby zamienić surowe materiały w gotowy krótki raport badawczy?" ;"proceduralne"
PRC_018;"Propose a simple process for running a student survey at a university.";"Zaproponuj prosty proces przeprowadzenia ankiety wśród studentów na uczelni.";"How would you organize a basic university survey from design to data collection and review?" ;"Jak zorganizowałbyś podstawowe badanie ankietowe na uczelni od projektu po zbiór danych i przegląd wyników?" ;"proceduralne"
PRC_019;"Create a plan for preparing a group presentation when three people must deliver one shared talk.";"Stwórz plan przygotowania prezentacji grupowej, gdy trzy osoby mają wygłosić jedno wspólne wystąpienie.";"How should three people organize the work on a shared presentation so the final talk feels coherent?" ;"Jak trzy osoby powinny zorganizować pracę nad wspólną prezentacją, aby końcowe wystąpienie było spójne?" ;"proceduralne"
PRC_020;"Propose a procedure for introducing regular feedback in a small team that has never used it before.";"Zaproponuj procedurę wprowadzenia regularnego feedbacku w małym zespole, który wcześniej z niego nie korzystał.";"What steps should a manager follow to build a healthy feedback routine in a team with no prior habit of feedback?" ;"Jakie kroki powinien podjąć manager, aby zbudować zdrową rutynę feedbacku w zespole, który wcześniej jej nie miał?" ;"proceduralne"
INT_001;"Read the text and summarize its main point, then explain what decision problem it describes: The city introduced a morning congestion fee for cars entering the center. Traffic fell, buses became more punctual, and pollution decreased slightly. Some shop owners say they lost spontaneous customers. The council is deciding whether to keep, raise, or remove the fee.";"Przeczytaj tekst i streść jego główną myśl, a następnie wyjaśnij, jaki problem decyzyjny opisuje: Miasto wprowadziło poranną opłatę za wjazd samochodem do centrum. Ruch spadł, autobusy stały się bardziej punktualne, a zanieczyszczenie lekko zmalało. Część właścicieli sklepów twierdzi, że straciła przypadkowych klientów. Rada miasta decyduje, czy opłatę utrzymać, podnieść czy usunąć.";"Summarize the passage and identify the central policy trade off: The city introduced a morning congestion fee for cars entering the center. Traffic fell, buses became more punctual, and pollution decreased slightly. Some shop owners say they lost spontaneous customers. The council is deciding whether to keep, raise, or remove the fee.";"Streść fragment i wskaż główny kompromis polityczny: Miasto wprowadziło poranną opłatę za wjazd samochodem do centrum. Ruch spadł, autobusy stały się bardziej punktualne, a zanieczyszczenie lekko zmalało. Część właścicieli sklepów twierdzi, że straciła przypadkowych klientów. Rada miasta decyduje, czy opłatę utrzymać, podnieść czy usunąć.";"interpretacyjne"
INT_002;"Read the text and summarize the key information, then explain the trade off between speed and quality: A company shortened recruitment from six stages to three. Hiring became faster and fewer candidates dropped out. After several months managers noticed more poor hiring decisions. Leadership is considering whether to keep the shorter process or make it longer again.";"Przeczytaj tekst i streść najważniejsze informacje, a następnie wyjaśnij kompromis między szybkością a jakością: Firma skróciła rekrutację z sześciu etapów do trzech. Zatrudnianie stało się szybsze i mniej kandydatów rezygnowało. Po kilku miesiącach managerowie zauważyli więcej nietrafionych decyzji rekrutacyjnych. Kierownictwo zastanawia się, czy utrzymać krótszy proces, czy go ponownie wydłużyć.";"Summarize the passage and interpret the main dilemma: faster hiring but possibly worse hiring accuracy.";"Streść fragment i zinterpretuj główny dylemat: szybsze zatrudnianie, ale być może gorsza trafność decyzji rekrutacyjnych.";"interpretacyjne"
INT_003;"Read the text and explain its main message and the tension between the two groups: A university began recording some classes and making them available online. Many students found this helpful, especially during illness or part time work. Some lecturers observed lower attendance and less engagement in the classroom. The faculty is reconsidering the policy.";"Przeczytaj tekst i wyjaśnij jego główny przekaz oraz napięcie między dwiema grupami: Uczelnia zaczęła nagrywać część zajęć i udostępniać je online. Wielu studentów uznało to za pomocne, zwłaszcza przy chorobie lub pracy. Niektórzy wykładowcy zauważyli niższą frekwencję i mniejsze zaangażowanie na zajęciach. Wydział ponownie rozważa tę politykę.";"Summarize the passage and identify the conflict of interests between convenience and participation.";"Streść tekst i wskaż konflikt interesów między wygodą a uczestnictwem.";"interpretacyjne"
INT_004;"Summarize the text and interpret what may really explain the result: A sales team performed unusually well for two months. The manager credited a new bonus system. Some employees argued that seasonal demand and a few unusually large orders were more important than the bonus change.";"Streść tekst i zinterpretuj, co może naprawdę wyjaśniać ten wynik: Zespół sprzedażowy osiągał wyjątkowo dobre wyniki przez dwa miesiące. Manager przypisał to nowemu systemowi premiowemu. Część pracowników twierdziła, że ważniejsze były sezonowy popyt i kilka niezwykle dużych zamówień.";"Read the passage, summarize it, and explain why the manager may be attributing the outcome too quickly.";"Przeczytaj fragment, streść go i wyjaśnij, dlaczego manager może zbyt szybko przypisywać wynik jednej przyczynie.";"interpretacyjne"
INT_005;"Read the passage, summarize it, and explain why the apparent success is hard to evaluate clearly: After an app update, negative reviews increased in the first week, but active users grew over the next month. The product team called the release successful because the long term metric was positive. Others noted that a marketing campaign ran at the same time.";"Przeczytaj fragment, streść go i wyjaśnij, dlaczego pozorny sukces trudno jednoznacznie ocenić: Po aktualizacji aplikacji liczba negatywnych opinii wzrosła w pierwszym tygodniu, ale liczba aktywnych użytkowników wzrosła w kolejnym miesiącu. Zespół produktowy uznał wdrożenie za udane, bo długoterminowa metryka była dodatnia. Inni zauważyli, że równolegle trwała kampania marketingowa.";"Summarize the text and interpret why the evidence for success may be confounded.";"Streść tekst i zinterpretuj, dlaczego dowody na sukces mogą być zaburzone przez czynnik zewnętrzny.";"interpretacyjne"
INT_006;"Summarize the text and describe the strategic decision facing the organization: A public library saw fewer print book loans but rising demand for e books and audiobooks. At the same time, older readers still preferred printed collections and complained about fewer new physical titles. The director plans to revise next year's budget.";"Streść tekst i opisz strategiczną decyzję, przed którą stoi organizacja: Biblioteka publiczna odnotowała mniej wypożyczeń książek drukowanych, ale rosnące zainteresowanie e-bookami i audiobookami. Jednocześnie starsi czytelnicy nadal preferowali zbiory drukowane i narzekali na mniejszą liczbę nowych tytułów papierowych. Dyrekcja planuje zmienić budżet na przyszły rok.";"Read the passage and explain the main budget trade off it presents.";"Przeczytaj fragment i wyjaśnij główny kompromis budżetowy, który opisuje.";"interpretacyjne"
INT_007;"Read the text, summarize it, and judge whether it mainly describes a communication problem, an organizational problem, or a technological problem: A company introduced a new task management tool. The tool itself worked reliably, but employees entered tasks in inconsistent ways, kept some information in comments, and shared other details in private messages. After a month the team still lacked clarity.";"Przeczytaj tekst, streść go i oceń, czy opisuje on głównie problem komunikacyjny, organizacyjny czy technologiczny: Firma wdrożyła nowe narzędzie do zarządzania zadaniami. Samo narzędzie działało poprawnie, ale pracownicy wpisywali zadania w niespójny sposób, część informacji trzymali w komentarzach, a inne szczegóły przekazywali w prywatnych wiadomościach. Po miesiącu zespół nadal nie miał przejrzystości.";"Summarize the passage and interpret what kind of problem is actually limiting the tool's impact.";"Streść fragment i zinterpretuj, jaki rodzaj problemu naprawdę ogranicza wpływ narzędzia.";"interpretacyjne"
INT_008;"Summarize the text and explain two plausible interpretations: A teacher introduced short quizzes at the beginning of class. Students prepared more often, but some said they were learning in a more mechanical way just for the test. The teacher is unsure whether to continue with the new approach.";"Streść tekst i wyjaśnij dwie wiarygodne interpretacje: Nauczyciel wprowadził krótkie kartkówki na początku zajęć. Studenci częściej się przygotowywali, ale część z nich twierdziła, że uczy się bardziej mechanicznie tylko pod test. Nauczyciel nie jest pewien, czy kontynuować to podejście.";"Read the passage and interpret the trade off between discipline and depth of learning.";"Przeczytaj fragment i zinterpretuj kompromis między dyscypliną a głębokością uczenia się.";"interpretacyjne"
INT_009;"Read the text and explain what measurement problem may be hidden inside it: A company decided that a new training program was effective because the number of completed courses increased after launch. It did not check whether employees performed better at work or whether the final test had simply been made easier.";"Przeczytaj tekst i wyjaśnij, jaki problem pomiarowy może się w nim ukrywać: Firma uznała, że nowy program szkoleniowy jest skuteczny, ponieważ po jego uruchomieniu wzrosła liczba ukończonych kursów. Nie sprawdzono, czy pracownicy rzeczywiście lepiej wykonują pracę ani czy test końcowy nie został po prostu uproszczony.";"Summarize the passage and identify the key weakness in how success is being measured.";"Streść tekst i wskaż główną słabość sposobu mierzenia sukcesu.";"interpretacyjne"
INT_010;"Summarize the fragment and interpret the tension between short term and long term effects: After reducing the number of meetings, employees reported more comfort and more time for individual work. After several weeks some teams became less aligned because important decisions were made in smaller side groups. Leadership is considering adjustments.";"Streść fragment i zinterpretuj napięcie między skutkami krótkoterminowymi i długoterminowymi: Po ograniczeniu liczby spotkań pracownicy zgłaszali większy komfort i więcej czasu na pracę indywidualną. Po kilku tygodniach część zespołów stała się mniej spójna, ponieważ ważne decyzje zapadały w mniejszych pobocznych grupach. Kierownictwo rozważa korekty.";"Read the passage and explain the trade off between efficiency and coordination.";"Przeczytaj fragment i wyjaśnij kompromis między efektywnością a koordynacją.";"interpretacyjne"
INT_011;"Read the text and explain the main issue: A team launched a dashboard with many metrics. Users initially liked the amount of information, but later they stopped using it because they were unsure which numbers mattered most. The team is now considering a simpler redesign.";"Przeczytaj tekst i wyjaśnij główny problem: Zespół uruchomił dashboard z wieloma metrykami. Użytkownicy początkowo polubili ilość informacji, ale później przestali z niego korzystać, bo nie byli pewni, które liczby są najważniejsze. Zespół rozważa teraz prostszy redesign.";"Summarize the passage and interpret why more information may have reduced usefulness.";"Streść fragment i zinterpretuj, dlaczego większa ilość informacji mogła zmniejszyć użyteczność.";"interpretacyjne"
INT_012;"Read the text and summarize it, then identify the central uncertainty: A manager introduced a daily status message requirement. Project visibility improved, but employees reported that the messages became repetitive and added little value after the first weeks. The team is debating whether the routine should stay.";"Przeczytaj tekst i streść go, a następnie wskaż główną niepewność: Manager wprowadził obowiązek codziennej wiadomości statusowej. Widoczność projektu poprawiła się, ale pracownicy twierdzili, że po pierwszych tygodniach wiadomości stały się powtarzalne i mało wartościowe. Zespół zastanawia się, czy utrzymać tę rutynę.";"Summarize the passage and interpret the tension between transparency and overhead.";"Streść fragment i zinterpretuj napięcie między przejrzystością a kosztem dodatkowej pracy.";"interpretacyjne"
INT_013;"Read the passage and explain what kind of mistaken inference someone could make: A school introduced a new reading program and average test scores rose the next semester. During the same period class sizes also became smaller.";"Przeczytaj fragment i wyjaśnij, jaki rodzaj błędnego wniosku ktoś mógłby wyciągnąć: Szkoła wprowadziła nowy program czytania, a średnie wyniki testów wzrosły w następnym semestrze. W tym samym czasie liczebność klas również się zmniejszyła.";"Summarize the text and interpret why the cause of improvement is uncertain.";"Streść tekst i zinterpretuj, dlaczego przyczyna poprawy jest niepewna.";"interpretacyjne"
INT_014;"Read the passage, summarize it, and explain the likely conflict between two goals: A software team added many customization options after user requests. Power users were pleased, but new users found the product harder to understand and onboarding took longer.";"Przeczytaj fragment, streść go i wyjaśnij prawdopodobny konflikt między dwoma celami: Zespół programistyczny dodał wiele opcji personalizacji po prośbach użytkowników. Zaawansowani użytkownicy byli zadowoleni, ale nowi użytkownicy uznali produkt za trudniejszy do zrozumienia, a wdrożenie trwało dłużej.";"Summarize the passage and identify the trade off between flexibility and simplicity.";"Streść fragment i wskaż kompromis między elastycznością a prostotą.";"interpretacyjne"
INT_015;"Read the text and interpret the hidden organizational issue: A team frequently misses deadlines even though members work long hours and report high effort. Task ownership is often unclear and priorities change during the week.";"Przeczytaj tekst i zinterpretuj ukryty problem organizacyjny: Zespół często nie dotrzymuje terminów, mimo że członkowie pracują długo i deklarują duży wysiłek. Odpowiedzialność za zadania bywa niejasna, a priorytety zmieniają się w trakcie tygodnia.";"Summarize the passage and explain why effort alone is not solving the problem.";"Streść fragment i wyjaśnij, dlaczego sam wysiłek nie rozwiązuje problemu.";"interpretacyjne"
INT_016;"Summarize the text and interpret what may really explain the result: A sales team performed unusually well for two months. The manager credited a new bonus system. Some employees argued that seasonal demand and a few unusually large orders were more important than the bonus change.";"Streść tekst i zinterpretuj, co może naprawdę wyjaśniać ten wynik: Zespół sprzedażowy osiągał wyjątkowo dobre wyniki przez dwa miesiące. Manager przypisał to nowemu systemowi premiowemu. Część pracowników twierdziła, że ważniejsze były sezonowy popyt i kilka niezwykle dużych zamówień.";"Read the passage, summarize it, and explain why the manager may be attributing the outcome too quickly.";"Przeczytaj fragment, streść go i wyjaśnij, dlaczego manager może zbyt szybko przypisywać wynik jednej przyczynie.";"interpretacyjne"
INT_017;"Summarize the fragment and interpret the tension between short term and long term effects: After reducing the number of meetings, employees reported more comfort and more time for individual work. After several weeks some teams became less aligned because important decisions were made in smaller side groups. Leadership is considering adjustments.";"Streść fragment i zinterpretuj napięcie między skutkami krótkoterminowymi i długoterminowymi: Po ograniczeniu liczby spotkań pracownicy zgłaszali większy komfort i więcej czasu na pracę indywidualną. Po kilku tygodniach część zespołów stała się mniej spójna, ponieważ ważne decyzje zapadały w mniejszych pobocznych grupach. Kierownictwo rozważa korekty.";"Read the passage and explain the trade off between efficiency and coordination.";"Przeczytaj fragment i wyjaśnij kompromis między efektywnością a koordynacją.";"interpretacyjne"
INT_018;"Read the text and explain the main issue: A team launched a dashboard with many metrics. Users initially liked the amount of information, but later they stopped using it because they were unsure which numbers mattered most. The team is now considering a simpler redesign.";"Przeczytaj tekst i wyjaśnij główny problem: Zespół uruchomił dashboard z wieloma metrykami. Użytkownicy początkowo polubili ilość informacji, ale później przestali z niego korzystać, bo nie byli pewni, które liczby są najważniejsze. Zespół rozważa teraz prostszy redesign.";"Summarize the passage and interpret why more information may have reduced usefulness.";"Streść fragment i zinterpretuj, dlaczego większa ilość informacji mogła zmniejszyć użyteczność.";"interpretacyjne"
INT_019;"Read the text and summarize it, then identify the central uncertainty: A manager introduced a daily status message requirement. Project visibility improved, but employees reported that the messages became repetitive and added little value after the first weeks. The team is debating whether the routine should stay.";"Przeczytaj tekst i streść go, a następnie wskaż główną niepewność: Manager wprowadził obowiązek codziennej wiadomości statusowej. Widoczność projektu poprawiła się, ale pracownicy twierdzili, że po pierwszych tygodniach wiadomości stały się powtarzalne i mało wartościowe. Zespół zastanawia się, czy utrzymać tę rutynę.";"Summarize the passage and interpret the tension between transparency and overhead.";"Streść fragment i zinterpretuj napięcie między przejrzystością a kosztem dodatkowej pracy.";"interpretacyjne"
INT_020;"Read the passage, summarize it, and explain the likely conflict between two goals: A software team added many customization options after user requests. Power users were pleased, but new users found the product harder to understand and onboarding took longer.";"Przeczytaj fragment, streść go i wyjaśnij prawdopodobny konflikt między dwoma celami: Zespół programistyczny dodał wiele opcji personalizacji po prośbach użytkowników. Zaawansowani użytkownicy byli zadowoleni, ale nowi użytkownicy uznali produkt za trudniejszy do zrozumienia, a wdrożenie trwało dłużej.";"Summarize the passage and identify the trade off between flexibility and simplicity.";"Streść fragment i wskaż kompromis między elastycznością a prostotą.";"interpretacyjne"
TRK_001;"Rewrite the following message as a professional email to a manager: hey I am still waiting for the finance numbers so I cannot finish the report today. I will probably send it tomorrow morning.";"Przepisz następującą wiadomość jako profesjonalny e-mail do przełożonego: hej nadal czekam na dane z finansów więc nie mogę dziś skończyć raportu. Prawdopodobnie wyślę go jutro rano.";"Turn the informal note into a formal workplace email: hey I am still waiting for the finance data so the report will likely be ready tomorrow morning rather than today.";"Zamień tę nieformalną notatkę w formalny e-mail służbowy: hej nadal czekam na dane z finansów więc raport będzie raczej gotowy jutro rano niż dzisiaj.";"transformacja_lub_krytyka"
TRK_002;"Rewrite the following statement in a more polite and diplomatic tone: this solution makes no sense and only creates extra problems. We should go back to the previous version.";"Przepisz następujące zdanie w bardziej uprzejmym i dyplomatycznym tonie: to rozwiązanie nie ma sensu i tylko tworzy dodatkowe problemy. Powinniśmy wrócić do poprzedniej wersji.";"Make the message below more tactful and professional: this approach is not working and seems to complicate things. The earlier version may be better.";"Nadaj poniższej wiadomości bardziej taktowny i profesjonalny ton: to podejście nie działa i wydaje się komplikować sprawę. Wcześniejsza wersja może być lepsza.";"transformacja_lub_krytyka"
TRK_003;"Rewrite the following technical message so that a non technical client can understand it: there was a synchronization error between the authorization service and the cache layer, which temporarily caused inconsistent user sessions.";"Przepisz następującą wiadomość techniczną tak, aby zrozumiał ją klient nietechniczny: wystąpił błąd synchronizacji między usługą autoryzacji a warstwą cache, co tymczasowo spowodowało niespójne sesje użytkowników.";"Explain the issue below in plain client friendly language: a synchronization problem between internal services caused temporary session inconsistencies.";"Wyjaśnij poniższy problem prostym językiem przyjaznym dla klienta: problem synchronizacji między usługami wewnętrznymi spowodował tymczasowe niespójności sesji.";"transformacja_lub_krytyka"
TRK_004;"Rewrite the following text in a more formal administrative style: we want to resolve this quickly and it would be best if the documents arrived this week.";"Przepisz następujący tekst w bardziej formalnym stylu urzędowym: chcemy szybko rozwiązać tę sprawę i najlepiej byłoby, gdyby dokumenty dotarły w tym tygodniu.";"Turn the message below into formal administrative language: we would like to complete this matter promptly and preferably receive the documents within the current week.";"Zamień poniższą wiadomość na formalny język urzędowy: chcielibyśmy niezwłocznie zakończyć tę sprawę i najlepiej otrzymać dokumenty w bieżącym tygodniu.";"transformacja_lub_krytyka"
TRK_005;"Shorten the following message into a concise internal note: yesterday we had a meeting about the rollout. Many comments appeared, some people wanted to postpone the launch, but in the end we decided that the documentation should be improved before choosing the release date.";"Skróć następującą wiadomość do zwięzłej notatki wewnętrznej: wczoraj mieliśmy spotkanie o wdrożeniu. Pojawiło się wiele uwag, część osób chciała przesunąć start, ale ostatecznie zdecydowaliśmy, że najpierw trzeba poprawić dokumentację, a dopiero potem wybrać datę uruchomienia.";"Convert the text into a short factual internal summary: the rollout meeting produced many comments, some participants proposed delay, and the team agreed to improve documentation before setting a launch date.";"Przekształć tekst w krótkie rzeczowe podsumowanie wewnętrzne: spotkanie o wdrożeniu przyniosło wiele uwag, część uczestników proponowała opóźnienie, a zespół uzgodnił poprawę dokumentacji przed ustaleniem daty startu.";"transformacja_lub_krytyka"
TRK_006;"Critically assess the reasoning in this paragraph: most employees said in a survey that they like remote work. This proves they are more productive at home, so the company should close the office.";"Oceń krytycznie rozumowanie w tym akapicie: większość pracowników powiedziała w ankiecie, że lubi pracę zdalną. To dowodzi, że są bardziej produktywni w domu, więc firma powinna zamknąć biuro.";"Read the argument and explain its main logical weaknesses: employees prefer remote work, therefore remote work must increase productivity and the office is unnecessary.";"Przeczytaj argument i wyjaśnij jego główne słabości logiczne: pracownicy wolą pracę zdalną, więc praca zdalna musi zwiększać produktywność, a biuro jest niepotrzebne.";"transformacja_lub_krytyka"
TRK_007;"Identify the main flaws in this argument: after we introduced the new sales system, revenue increased, so the system definitely caused the improvement.";"Wskaż główne błędy w tym argumencie: po wprowadzeniu nowego systemu sprzedaży przychody wzrosły, więc system na pewno spowodował poprawę.";"Explain what is missing in the reasoning here and why the conclusion may be too strong: revenue went up after the new sales system was launched, so the system must be the cause.";"Wyjaśnij, czego brakuje w tym rozumowaniu i dlaczego wniosek może być zbyt mocny: przychody wzrosły po uruchomieniu nowego systemu sprzedaży, więc to system musi być przyczyną.";"transformacja_lub_krytyka"
TRK_008;"Critique the following reasoning: our social media post got many likes, so the marketing campaign was effective.";"Skrytykuj następujące rozumowanie: nasz post w mediach społecznościowych dostał wiele polubień, więc kampania marketingowa była skuteczna.";"What is weak about this argument: a post received a lot of likes, therefore the whole campaign worked well.";"Co jest słabe w tym argumencie: post otrzymał dużo polubień, więc cała kampania zadziałała dobrze.";"transformacja_lub_krytyka"
TRK_009;"Evaluate the reasoning in this claim: the two best students in the class take very detailed notes, so every student who wants good grades should take notes in exactly the same way.";"Oceń rozumowanie w tym twierdzeniu: dwaj najlepsi studenci w grupie robią bardzo szczegółowe notatki, więc każdy student chcący mieć dobre oceny powinien notować dokładnie w ten sam sposób.";"Explain the logical weaknesses in this conclusion about study habits based on a small number of successful examples.";"Wyjaśnij logiczne słabości tego wniosku o nawykach nauki opartego na małej liczbie udanych przykładów.";"transformacja_lub_krytyka"
TRK_010;"Analyze the weaknesses in this justification: customers report fewer issues after we added a new FAQ page, so technical support no longer needs further investment.";"Przeanalizuj słabości tego uzasadnienia: klienci zgłaszają mniej problemów po dodaniu nowej strony FAQ, więc wsparcie techniczne nie wymaga już dalszych inwestycji.";"Read the statement and explain why the conclusion may be premature: fewer reported problems after a new FAQ means support can stop improving.";"Przeczytaj stwierdzenie i wyjaśnij, dlaczego wniosek może być przedwczesny: mniej zgłaszanych problemów po nowym FAQ oznacza, że wsparcie może przestać się rozwijać.";"transformacja_lub_krytyka"
TRK_011;"Rewrite the following complaint into a calm and constructive message: nobody understands what is happening in this project and the whole process is a mess.";"Przepisz następującą skargę na spokojną i konstruktywną wiadomość: nikt nie rozumie, co dzieje się w tym projekcie, a cały proces to bałagan.";"Turn the frustrated comment into professional feedback: this project is confusing and the process feels disorganized.";"Zamień tę sfrustrowaną uwagę w profesjonalny feedback: ten projekt jest niejasny, a proces wydaje się niezorganizowany.";"transformacja_lub_krytyka"
TRK_012;"Rewrite the following message for a customer facing announcement: we found a bug and rolled back the release because the deployment broke several parts of the system.";"Przepisz następującą wiadomość jako komunikat dla klientów: znaleźliśmy błąd i wycofaliśmy wdrożenie, ponieważ aktualizacja zepsuła kilka części systemu.";"Turn the internal statement into a clear customer notice: due to a technical issue discovered after release, we reverted the update to preserve service stability.";"Zamień wewnętrzne stwierdzenie w jasny komunikat dla klientów: z powodu problemu technicznego wykrytego po wdrożeniu cofnęliśmy aktualizację, aby zachować stabilność usługi.";"transformacja_lub_krytyka"
TRK_013;"Critically evaluate this reasoning: our team worked longer hours this month, so it is obvious that the project is now healthier.";"Krytycznie oceń to rozumowanie: nasz zespół pracował w tym miesiącu dłużej, więc oczywiste jest, że projekt jest teraz w lepszej kondycji.";"Explain why more hours worked do not automatically prove that a project is healthier.";"Wyjaśnij, dlaczego większa liczba przepracowanych godzin nie dowodzi automatycznie, że projekt jest w lepszej kondycji.";"transformacja_lub_krytyka"
TRK_014;"Assess the weaknesses of this argument: users asked for more features, so adding as many features as possible will make the product better.";"Oceń słabości tego argumentu: użytkownicy prosili o więcej funkcji, więc dodanie jak największej liczby funkcji sprawi, że produkt będzie lepszy.";"What is wrong with the reasoning that more requested features must always improve a product?" ;"Co jest nie tak z rozumowaniem, że więcej pożądanych funkcji musi zawsze ulepszać produkt?" ;"transformacja_lub_krytyka"
TRK_015;"Rewrite the following direct message as a respectful note to a colleague: you sent the files too late again and this blocked the rest of us.";"Przepisz następującą bezpośrednią wiadomość jako uprzejmą notatkę do współpracownika: znowu wysłałeś pliki za późno i zablokowało to resztę zespołu.";"Turn the blunt message into respectful colleague communication: the files arrived later than expected and this delayed the next steps for the team.";"Zamień tę zbyt bezpośrednią wiadomość w uprzejmą komunikację do współpracownika: pliki dotarły później, niż oczekiwano, i opóźniło to kolejne kroki zespołu.";"transformacja_lub_krytyka"
TRK_016;"Shorten the following message into a concise internal note: yesterday we had a meeting about the rollout. Many comments appeared, some people wanted to postpone the launch, but in the end we decided that the documentation should be improved before choosing the release date.";"Skróć następującą wiadomość do zwięzłej notatki wewnętrznej: wczoraj mieliśmy spotkanie o wdrożeniu. Pojawiło się wiele uwag, część osób chciała przesunąć start, ale ostatecznie zdecydowaliśmy, że najpierw trzeba poprawić dokumentację, a dopiero potem wybrać datę uruchomienia.";"Convert the text into a short factual internal summary: the rollout meeting produced many comments, some participants proposed delay, and the team agreed to improve documentation before setting a launch date.";"Przekształć tekst w krótkie rzeczowe podsumowanie wewnętrzne: spotkanie o wdrożeniu przyniosło wiele uwag, część uczestników proponowała opóźnienie, a zespół uzgodnił poprawę dokumentacji przed ustaleniem daty startu.";"transformacja_lub_krytyka"
