feature,eta_squared_model_key,mutual_information_model_key,max_abs_model_mean_z,unique_values,per_model_means,review_flag
source_sum_logprob,0.26309654144753736,0.8138499814338582,0.8859348982132393,961,"{""gemini-flash-latest"": -77.58512649999999, ""llama-3.1-8b-groq"": -77.58512649999999, ""mistral-7b-hf"": -57.256609483333335, ""phi-3-mini-hf"": -326.52746007916664}",
text_type_token_ratio,0.24334268656786906,0.32195478930595334,0.7287846513401428,1755,"{""gemini-flash-latest"": 0.6194884788120746, ""llama-3.1-8b-groq"": 0.5247259069239713, ""mistral-7b-hf"": 0.6420747673434356, ""phi-3-mini-hf"": 0.761580421768129}",
text_repetition_rate,0.2433426865678689,0.3204090385462395,0.7287846513401427,1755,"{""gemini-flash-latest"": 0.38051152118792547, ""llama-3.1-8b-groq"": 0.4752740930760287, ""mistral-7b-hf"": 0.3579252326565644, ""phi-3-mini-hf"": 0.2384195782318709}",
text_entropy,0.22408909857033799,0.4271357440322514,0.5822454879401854,1909,"{""gemini-flash-latest"": 7.525907337508269, ""llama-3.1-8b-groq"": 6.3664489021176776, ""mistral-7b-hf"": 6.636885104284265, ""phi-3-mini-hf"": 7.624676334313036}",
text_avg_word_length,0.19413597449584166,0.15448444347413215,0.7486168762310019,1869,"{""gemini-flash-latest"": 5.520348357794429, ""llama-3.1-8b-groq"": 5.707962179265062, ""mistral-7b-hf"": 5.810545686431984, ""phi-3-mini-hf"": 6.89304596950929}",
text_unique_word_count,0.1857847657124765,0.38697492467951444,0.6679980127056088,488,"{""gemini-flash-latest"": 281.87083333333334, ""llama-3.1-8b-groq"": 130.86041666666668, ""mistral-7b-hf"": 143.075, ""phi-3-mini-hf"": 459.74791666666664}",
text_colon_density,0.18342232429539565,0.2201690879797411,0.6072016236863171,1564,"{""gemini-flash-latest"": 0.004570542258517427, ""llama-3.1-8b-groq"": 0.004676131817000283, ""mistral-7b-hf"": 0.0028112890310892486, ""phi-3-mini-hf"": 0.0015817750188020262}",
source_response_length,0.17799662746714692,0.32616817485289773,0.6453488637911393,1580,"{""gemini-flash-latest"": 3345.9333333333334, ""llama-3.1-8b-groq"": 2000.4354166666667, ""mistral-7b-hf"": 1672.0229166666666, ""phi-3-mini-hf"": 5066.1625}",
text_char_count,0.17748973221135292,0.3350909626746752,0.6415596478737562,1602,"{""gemini-flash-latest"": 3386.09375, ""llama-3.1-8b-groq"": 2023.2979166666667, ""mistral-7b-hf"": 1684.5916666666667, ""phi-3-mini-hf"": 5078.714583333333}",
text_repeated_bigram_ratio,0.17235679619961938,0.3723937252562395,0.6833395747420618,1586,"{""gemini-flash-latest"": 0.0592874019667103, ""llama-3.1-8b-groq"": 0.18969782673319108, ""mistral-7b-hf"": 0.09551121873434136, ""phi-3-mini-hf"": 0.09662757542355947}",
text_avg_sentence_chars,0.1672064064007331,0.19211891905316403,0.705932106459719,1794,"{""gemini-flash-latest"": 93.23912339396794, ""llama-3.1-8b-groq"": 110.62698260903656, ""mistral-7b-hf"": 110.09612910010888, ""phi-3-mini-hf"": 303.7363545973647}",
text_avg_sentence_words,0.16661697355843655,0.15829917241591795,0.7022629446595432,1471,"{""gemini-flash-latest"": 13.264609999299662, ""llama-3.1-8b-groq"": 15.525084565783585, ""mistral-7b-hf"": 15.883053267853255, ""phi-3-mini-hf"": 34.81521880811898}",
text_word_count,0.1560258264295245,0.29916307465328984,0.5197000925013713,738,"{""gemini-flash-latest"": 474.99791666666664, ""llama-3.1-8b-groq"": 285.6145833333333, ""mistral-7b-hf"": 239.85416666666666, ""phi-3-mini-hf"": 571.2666666666667}",
text_question_mark_density,0.13712019585702695,0.2120071876376448,0.6012042429205747,419,"{""gemini-flash-latest"": 0.0005506446102738262, ""llama-3.1-8b-groq"": 0.00020523759080786814, ""mistral-7b-hf"": 7.6504709569247e-06, ""phi-3-mini-hf"": 3.892674713201528e-05}",
text_repeated_trigram_ratio,0.12021922364165841,0.3542296488643204,0.4772233671664656,1329,"{""gemini-flash-latest"": 0.01304270167296754, ""llama-3.1-8b-groq"": 0.10215756035713745, ""mistral-7b-hf"": 0.042122049252580854, ""phi-3-mini-hf"": 0.06968184389241446}",
text_list_marker_count,0.1120682554839304,0.12384554953999327,0.3899591078315767,56,"{""gemini-flash-latest"": 12.691666666666666, ""llama-3.1-8b-groq"": 11.572916666666666, ""mistral-7b-hf"": 6.229166666666667, ""phi-3-mini-hf"": 5.479166666666667}",
text_avg_word_frequency,0.10486594436396134,0.32082666777830404,0.5422327254032759,1755,"{""gemini-flash-latest"": 1.6645641561899438, ""llama-3.1-8b-groq"": 2.0490337450295395, ""mistral-7b-hf"": 1.606558464639206, ""phi-3-mini-hf"": 1.5189884438468082}",
text_negation_word_count,0.09501818390566684,0.11053909515995342,0.5194645507752801,22,"{""gemini-flash-latest"": 4.060416666666667, ""llama-3.1-8b-groq"": 2.1333333333333333, ""mistral-7b-hf"": 1.475, ""phi-3-mini-hf"": 1.7645833333333334}",
text_second_person_pronoun_count,0.09239012414866044,0.032597987874174894,0.521331950501738,45,"{""gemini-flash-latest"": 5.46875, ""llama-3.1-8b-groq"": 1.70625, ""mistral-7b-hf"": 1.1541666666666666, ""phi-3-mini-hf"": 1.03125}",
text_semicolon_density,0.060546179515302875,0.19929039278045124,0.38068708798666434,379,"{""gemini-flash-latest"": 0.00013306739655804227, ""llama-3.1-8b-groq"": 1.5840574804586397e-06, ""mistral-7b-hf"": 3.2132988140578466e-05, ""phi-3-mini-hf"": 0.00027883728757393823}",
text_hedge_word_density,0.03562880770176204,0.07849090281892668,0.2552624369740356,663,"{""gemini-flash-latest"": 0.001970358812857444, ""llama-3.1-8b-groq"": 0.004675303756831478, ""mistral-7b-hf"": 0.005684699033989108, ""phi-3-mini-hf"": 0.0032002280104642166}",
text_second_person_pronoun_density,0.03376911593481066,0.0751771023556227,0.2862795339238588,614,"{""gemini-flash-latest"": 0.010461110690957818, ""llama-3.1-8b-groq"": 0.006062413274756262, ""mistral-7b-hf"": 0.005586696440211754, ""phi-3-mini-hf"": 0.002974957208392822}",
text_first_person_pronoun_count,0.029414447872854434,0.06985193732311812,0.2810837921648444,35,"{""gemini-flash-latest"": 6.239583333333333, ""llama-3.1-8b-groq"": 4.477083333333334, ""mistral-7b-hf"": 3.64375, ""phi-3-mini-hf"": 3.625}",
text_first_person_pronoun_density,0.026711264145799263,0.13419724744147477,0.21449918082310385,1007,"{""gemini-flash-latest"": 0.014837250890195051, ""llama-3.1-8b-groq"": 0.021209448252240803, ""mistral-7b-hf"": 0.018695562849164966, ""phi-3-mini-hf"": 0.012628945916401482}",
text_exclamation_mark_density,0.026075241448311113,0.10974406985687635,0.17019152133758542,210,"{""gemini-flash-latest"": 0.00011197659013289855, ""llama-3.1-8b-groq"": 1.1630188634350841e-05, ""mistral-7b-hf"": 1.1537635271828652e-05, ""phi-3-mini-hf"": 0.00010662666091511392}",
text_negation_word_density,0.024184987185500606,0.11425861969317364,0.23014221833264187,967,"{""gemini-flash-latest"": 0.008671737470902099, ""llama-3.1-8b-groq"": 0.00948474354150709, ""mistral-7b-hf"": 0.00716702459315092, ""phi-3-mini-hf"": 0.005283600995988466}",
text_comma_density,0.020367321981798688,0.1882375054183032,0.2062452198199964,1799,"{""gemini-flash-latest"": 0.007829076857142207, ""llama-3.1-8b-groq"": 0.008876972217744668, ""mistral-7b-hf"": 0.009670994673260018, ""phi-3-mini-hf"": 0.008413076284324673}",
text_max_word_frequency,0.01468469745083683,0.17456101137115754,0.16817435914887668,82,"{""gemini-flash-latest"": 22.733333333333334, ""llama-3.1-8b-groq"": 16.402083333333334, ""mistral-7b-hf"": 12.3875, ""phi-3-mini-hf"": 18.933333333333334}",
text_code_fence_count,0.011038566162577985,0.006947449542423545,0.18192217681638945,7,"{""gemini-flash-latest"": 0.0020833333333333333, ""llama-3.1-8b-groq"": 0.0020833333333333333, ""mistral-7b-hf"": 0.0, ""phi-3-mini-hf"": 0.08125}",
text_hedge_word_count,0.01092371185058311,0.05009843980143902,0.16026523996678235,16,"{""gemini-flash-latest"": 1.0041666666666667, ""llama-3.1-8b-groq"": 1.5916666666666666, ""mistral-7b-hf"": 1.6229166666666666, ""phi-3-mini-hf"": 1.325}",
text_uppercase_word_ratio,0.005164529484494149,0.08745480994424204,0.09725270524727389,532,"{""gemini-flash-latest"": 0.004542966790478604, ""llama-3.1-8b-groq"": 0.0017016231084006899, ""mistral-7b-hf"": 0.002492393997183414, ""phi-3-mini-hf"": 0.0035968842928645254}",
text_digit_density,0.0031663681088459103,0.15512288622082115,0.08505927629129052,1437,"{""gemini-flash-latest"": 0.00424430240631031, ""llama-3.1-8b-groq"": 0.003834161846268487, ""mistral-7b-hf"": 0.003059139837435099, ""phi-3-mini-hf"": 0.005469520371410438}",
